RutaID,X,Y
1031,954,651
1031,960,651
1031,950,674
1031,950,689
1031,943,697
1031,932,701
1031,939,701
1031,946,694
1031,949,697
1031,950,715
1031,952,711
1031,956,730
1031,953,730
1031,958,730
1031,957,719
1031,951,706
1031,949,692
1031,951,690
1031,957,693
1031,968,719
1031,961,699
1031,953,687
1031,956,676
1031,966,666
1031,959,669
1031,966,651
1031,972,657
1031,967,664
1031,973,659
1031,975,661
1031,976,676
1031,966,687
1031,964,697
1031,974,703
1031,977,711
1031,984,717
1031,1009,730
1031,998,726
1031,994,720
1031,982,714
1031,976,704
1031,964,695
1031,965,691
1031,977,677
1031,995,689
1031,1008,689
1031,997,689
1031,980,677
1031,982,650
1031,995,638
1031,1001,643
1031,989,649
1031,996,649
1031,1002,643
1031,1009,649
1031,1012,647
1031,1009,642
1031,1004,642
1031,1008,640
1031,1011,632
1031,1006,628
1031,1006,621
1031,1024,616
1031,1025,618
1031,1026,613
1031,1019,618
1031,1009,617
1031,1003,612
1031,1017,609
1031,1022,605
1031,1029,611
1031,1043,600
1031,1029,608
1031,1025,605
1031,1031,598
1031,1013,610
1031,1001,611
1031,999,608
1031,1002,605
1031,1018,599
1031,1022,593
1031,1016,599
1031,996,606
1031,990,595
1031,992,576
1031,992,584
1031,986,587
1031,981,576
1031,984,571
1031,980,575
1031,984,585
1031,974,585
1031,975,578
1031,970,577
1031,971,561
1031,964,552
1031,939,540
1031,923,528
1031,920,529
1031,905,516
1031,899,515
1031,887,502
1031,883,491
1031,857,473
1031,848,460
1031,850,458
1031,841,448
1031,848,433
1031,847,422
1031,850,414
1031,857,405
1031,857,411
1031,860,408
1031,860,399
1031,864,403
1031,861,396
1031,885,363
1031,889,361
1031,892,364
1031,892,356
1031,908,354
1031,906,352
1031,924,335
1031,971,299
1031,981,295
1031,991,296
1031,996,291
1031,1012,288
1031,1010,282
1031,1022,276
1031,1031,260
1031,1037,256
1031,1049,255
1031,1055,250
1031,1063,255
1031,1068,246
1031,1082,254
1031,1075,263
1031,1072,261
1031,1085,271
1031,1077,265
1031,1079,259
1031,1084,266
1031,1087,265
1031,1095,273
1031,1104,276
1031,1096,272
1031,1095,268
1031,1085,265
1031,1082,260
1031,1083,253
1031,1070,245
1031,1078,242
1031,1079,237
1031,1085,232
1031,1084,228
1031,1084,233
1031,1074,242
1031,1076,225
1031,1085,222
1031,1086,226
1031,1094,218
1031,1137,219
1031,1144,215
1031,1157,215
1031,1181,207
1031,1201,208
1031,1206,214
1031,1211,213
1031,1225,234
1031,1221,243
1031,1226,240
1031,1223,244
1031,1224,251
1031,1220,255
1031,1226,252
1031,1222,270
1031,1228,286
1031,1226,293
1031,1219,298
1031,1218,296
1031,1214,306
1031,1219,324
1031,1203,318
1031,1187,302
1031,1179,298
1031,1172,288
1031,1163,289
1031,1154,285
1031,1153,288
1031,1171,289
1031,1177,298
1031,1187,303
1031,1200,317
1031,1220,327
1031,1215,334
1031,1205,329
1031,1212,336
1031,1205,345
1031,1206,349
1031,1200,354
1031,1201,369
1031,1185,386
1031,1190,385
1031,1192,395
1031,1191,381
1031,1201,371
1031,1200,356
1031,1212,337
1031,1229,339
1031,1235,350
1031,1250,363
1031,1237,351
1031,1229,331
1031,1224,327
1031,1224,321
1031,1221,326
1031,1215,313
1031,1217,302
1031,1227,293
1031,1229,287
1031,1224,271
1031,1228,253
1031,1225,245
1031,1229,233
1031,1221,223
1031,1225,219
1031,1218,218
1031,1201,206
1031,1179,205
1031,1173,209
1031,1163,206
1031,1169,209
1031,1164,210
1031,1154,198
1031,1154,202
1031,1150,202
1031,1145,193
1031,1150,186
1031,1153,196
1031,1153,189
1031,1172,178
1031,1182,160
1031,1203,148
1031,1203,145
1031,1205,147
1031,1205,141
1031,1209,137
1048,672,126
1048,664,133
1048,667,134
1048,662,136
1048,671,138
1048,667,136
1048,673,126
1048,678,126
1059,496,112
1059,519,137
1059,497,112
1065,743,98
1065,726,114
1065,729,111
1065,733,119
1065,723,134
1065,718,126
1065,725,109
1065,716,127
1065,707,125
1065,716,128
1065,721,135
1065,719,138
1065,725,137
1065,734,146
1065,734,151
1065,727,160
1065,727,173
1065,729,171
1065,734,176
1065,734,189
1065,743,191
1065,747,197
1065,743,210
1065,748,217
1065,744,223
1065,748,223
1065,751,260
1065,732,256
1065,711,256
1065,734,257
1065,740,260
1065,714,280
1065,708,278
1065,711,281
1065,709,283
1065,702,280
1065,697,274
1065,694,255
1065,707,256
1065,687,248
1065,703,246
1065,666,244
1065,670,247
1065,656,250
1065,650,244
1065,662,244
1065,661,242
1065,639,243
1065,643,237
1065,641,222
1065,650,208
1065,640,222
